year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2017,PHI,86513378.00,3604724.00,955000.00,66,1310808.76,no
2017,PIT,96133666.00,3697449.00,2993750.00,75,1281782.21,no
2017,SDP,32128066.00,1189928.00,546200.00,71,452507.97,no
2017,SEA,142207720.00,4740257.00,1212500.00,64,2221995.63,no
2017,SFG,156531277.00,5797455.00,2000000.00,78,2006811.24,no
2017,STL,131669599.00,4702486.00,2725000.00,83,1586380.71,no
2017,TBR,68296366.00,2203109.00,1300000.00,80,853704.58,no
2017,TEX,172848063.00,5237820.00,1833333.00,78,2216000.81,no
2017,TOR,122796238.00,4722932.00,2068750.00,76,1615739.97,no
2017,WAS,163375489.00,6283673.00,4000000.00,97,1684283.39,no
2016,ARI,79423163.00,3309298.00,1387500.00,69,1151060.33,no
2016,ATL,60352791.00,2321261.00,948750.00,68,887541.04,no
2016,BAL,139179070.00,4970681.00,2700000.00,89,1563809.78,no
2016,BOS,160606261.00,6177164.00,950000.00,93,1726949.04,no
2016,CHC,172855456.00,5761849.00,3083333.00,103,1678208.31,yes
2016,CHW,109173667.00,4548903.00,2750000.00,78,1399662.40,no
2016,CIN,89955059.00,2901776.00,525000.00,68,1322868.51,no
2016,CLE,60928567.00,2538690.00,1848750.00,94,648176.24,no
2016,COL,85645071.00,2762744.00,1000000.00,75,1141934.28,no
2016,DET,180855981.00,6459142.00,737500.00,86,2102976.52,no
2016,HOU,91893700.00,3281918.00,875000.00,84,1093972.62,no
2016,KCR,112620458.00,4504818.00,4225000.00,81,1390376.02,no
2016,LAA,129251333.00,5170053.00,1500000.00,74,1746639.64,no
2016,LAD,188473380.00,6282446.00,3562500.00,91,2071136.04,no
2016,MIA,69743071.00,2583077.00,1350000.00,79,882823.68,no
2016,MIL,57073313.00,1902444.00,516150.00,73,781826.21,no
2016,MIN,96283200.00,4186226.00,1475000.00,59,1631918.64,no
2016,NYM,132926379.00,5317055.00,4000000.00,87,1527889.41,no
2016,NYY,203354935.00,7262676.00,3650000.00,84,2420892.08,no
2016,OAK,75876234.00,2616422.00,1500000.00,69,1099655.57,no
2016,PHI,45462000.00,1683778.00,525000.00,71,640309.86,no
2016,PIT,101249666.00,3894218.00,3000000.00,78,1298072.64,no
2016,SDP,89995814.00,4090719.00,1175000.00,68,1323467.85,no
2016,SEA,123457243.00,4748356.00,1300000.00,87,1419048.77,no
2016,SFG,147841277.00,6720058.00,6100000.00,86,1719084.62,no
2016,STL,123128499.00,4397446.00,1475000.00,86,1431726.73,no
2016,TBR,56616076.00,2096892.00,895000.00,68,832589.35,no
2016,TEX,127955390.00,4739089.00,1500000.00,95,1346898.84,no
2016,TOR,146179900.00,5220711.00,1525000.00,89,1642470.79,no
2016,WAS,140936678.00,5872362.00,3000000.00,95,1483543.98,no
2015,ARI,63812833.00,2279030.00,525000.00,79,807757.38,no
2015,ATL,81247648.00,2901702.00,1083333.00,67,1212651.46,no
2015,BAL,104378208.00,3727793.00,2575000.00,81,1288619.85,no
2015,BOS,146494748.00,5634413.00,2125000.00,78,1878137.79,no
2015,CHC,116265880.00,4306144.00,2525000.00,97,1198617.32,no
2015,CHW,99302867.00,3546531.00,1325000.00,76,1306616.67,no
